Avoidance,Self-assertion,Distraction,Reappraisal,Suppression
0.24854298173519557,0.5903124549870353,0.42883429823717767,0.367584210922717,0.14235586291072655
0.2564730998116059,0.6000000000000001,0.435293664830811,0.37532864277362926,0.14963720478610876
0.26421753166251816,0.6094634353570331,0.44152854081656057,0.3827822185373187,0.1567891723253309
0.2716711074262076,0.6185423644569682,0.4474590625251761,0.38982592017231227,0.1637308584726166
0.27871480906120116,0.6270509831248423,0.45299860579488793,0.39632925846422856,0.17037037037037034
0.28521814735311746,0.6347826086956523,0.4580559456927984,0.4021544419271492,0.1766060550141867
0.2910433308160381,0.6415184401122529,0.4625383150900054,0.4071624802286639,0.1823288460499075
0.2960513691175528,0.64704092016094,0.46635531345113546,0.41122105364536693,0.18742588672279303
0.3001099425342558,0.6511510542909249,0.4694234704706892,0.4142135623730951,0.19178543945106552
0.303102451261984,0.6536876841760657,0.47167110742620755,0.41604833480599995,0.19530287617748915
0.30493722369488885,0.6545454545454545,0.4730429998367486,0.41666666666666663,0.19788728297841518
0.3055555555555555,0.6536876841760657,0.4735042735042735,0.41604833480599995,0.19946796653753246
0.30493722369488885,0.6511510542909249,0.4730429998367486,0.4142135623730951,0.2
0.303102451261984,0.64704092016094,0.47167110742620755,0.41122105364536693,0.19946796653753246
0.3001099425342558,0.6415184401122529,0.4694234704706892,0.4071624802286639,0.19788728297841518
0.2960513691175528,0.6347826086956523,0.46635531345113546,0.4021544419271492,0.19530287617748915
0.2910433308160381,0.6270509831248423,0.4625383150900054,0.39632925846422856,0.19178543945106552
0.28521814735311746,0.6185423644569682,0.4580559456927984,0.38982592017231227,0.18742588672279303
0.27871480906120116,0.6094634353570331,0.45299860579488793,0.3827822185373187,0.1823288460499075
0.2716711074262076,0.6000000000000001,0.4474590625251761,0.37532864277362926,0.1766060550141867
0.26421753166251816,0.5903124549870353,0.44152854081656057,0.367584210922717,0.17037037037037034
0.25885659235869946,0.6021544419271492,0.4385260936749976,0.37877038265424406,0.15162870477440726
0.26765927154313296,0.6130069023090093,0.4456780612142198,0.38742588672279304,0.15965409284630666
0.27631477561168194,0.6237024127924051,0.45261974736150545,0.39581485131381566,0.16758421092271697
0.28470374020270456,0.6340578300578996,0.45925925925925926,0.4037985644265594,0.17532864277362925
0.2926874533154483,0.6438533484459066,0.46549494390307555,0.41122105364536693,0.18278221853731869
0.3001099425342558,0.6528360812162113,0.4712177349387965,0.4179136465089488,0.18982592017231226
0.3068025353978377,0.6607297055998986,0.4763147756116819,0.42370241279240517,0.19632925846422855
0.31259130168129406,0.6672514169971265,0.4806743283399544,0.42841846975978637,0.2021544419271492
0.3173073586486753,0.6721359549995793,0.48419176506637807,0.43191047095423357,0.20716248022866401
0.32079935984312247,0.6751640987214822,0.48677617186730404,0.4340578300578996,0.21122105364536692
0.3229467189467885,0.6761904761904762,0.4883568554264214,0.4347826086956522,0.21421356237309508
0.3236714975845411,0.6751640987214822,0.48888888888888893,0.4340578300578996,0.21604833480599994
0.3229467189467885,0.6721359549995793,0.4883568554264214,0.43191047095423357,0.21666666666666662
0.32079935984312247,0.6672514169971265,0.48677617186730404,0.42841846975978637,0.21604833480599994
0.3173073586486753,0.6607297055998986,0.48419176506637807,0.42370241279240517,0.21421356237309508
0.31259130168129406,0.6528360812162113,0.4806743283399544,0.4179136465089488,0.21122105364536692
0.3068025353978377,0.6438533484459066,0.4763147756116819,0.41122105364536693,0.2071624802286639
0.3001099425342559,0.6340578300578996,0.4712177349387965,0.4037985644265594,0.2021544419271492
0.2926874533154483,0.6237024127924051,0.46549494390307555,0.39581485131381566,0.19632925846422855
0.28470374020270456,0.6130069023090093,0.45925925925925926,0.38742588672279304,0.18982592017231226
0.27631477561168194,0.6021544419271492,0.45261974736150545,0.37877038265424406,0.18278221853731869
0.26942347047068926,0.6142135623730951,0.4485429817351956,0.3903124549870354,0.1611176531903349
0.27920134387592427,0.6263733391449025,0.4564730998116059,0.4,0.16996770346981055
0.2888888888888889,0.6384763241977652,0.4642175316625181,0.40946343535703306,0.17877038265424405
0.29835232424592195,0.6503174725987149,0.47167110742620755,0.4185423644569682,0.18742588672279303
0.3074312533458571,0.6616399415807226,0.4787148090612011,0.42705098312484224,0.19581485131381565
0.31593987201373114,0.6721359549995793,0.4852181473531174,0.4347826086956522,0.20379856442655941
0.3236714975845411,0.6814560089181301,0.4910433308160381,0.44151844011225283,0.21122105364536692
0.3304073290011417,0.6892294543450558,0.49605136911755277,0.44704092016093994,0.2179136465089488
0.33592980904982883,0.6950975679639241,0.5001099425342558,0.45115105429092484,0.22370241279240516
0.34003994317981373,0.6987562112089027,0.5031024512619839,0.4536876841760657,0.2284184697597864
0.3425765730649546,0.7,0.5049372236948888,0.45454545454545453,0.23191047095423356
0.3434343434343434,0.6987562112089027,0.5055555555555555,0.4536876841760657,0.2340578300578996
0.3425765730649546,0.6950975679639241,0.5049372236948888,0.45115105429092484,0.2347826086956522
0.34003994317981373,0.6892294543450558,0.5031024512619839,0.44704092016093994,0.2340578300578996
0.33592980904982883,0.6814560089181301,0.5001099425342558,0.44151844011225283,0.23191047095423356
0.3304073290011417,0.6721359549995793,0.49605136911755277,0.4347826086956522,0.22841846975978636
0.3236714975845411,0.6616399415807226,0.4910433308160381,0.42705098312484224,0.22370241279240505
0.31593987201373114,0.6503174725987149,0.4852181473531174,0.4185423644569682,0.2179136465089488
0.3074312533458571,0.6384763241977652,0.4787148090612011,0.40946343535703306,0.21122105364536692
0.29835232424592195,0.6263733391449026,0.47167110742620755,0.4,0.20379856442655941
0.2888888888888889,0.6142135623730951,0.4642175316625181,0.3903124549870354,0.19581485131381565
0.2801810850933991,0.6263733391449026,0.45885659235869947,0.4021544419271492,0.17077461428069896
0.2910433308160381,0.6399874292512671,0.4676592715431329,0.4130069023090093,0.18053458158180036
0.3018957911978982,0.6536876841760657,0.4763147756116819,0.42370241279240517,0.19031245498703536
0.31259130168129406,0.6672514169971266,0.48470374020270457,0.4340578300578996,0.2
0.3229467189467885,0.6803846037599811,0.4926874533154483,0.44385334844590657,0.20946343535703305
0.33274223733479547,0.6927169016450005,0.5001099425342558,0.45283608121621133,0.21854236445696817
0.3417249701051002,0.7038073273463177,0.5068025353978377,0.4607297055998988,0.22705098312484223
0.3496185944887877,0.713167019494862,0.5125913016812941,0.46725141699712663,0.2347826086956522
